Material,Descripción,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,"Mar del Plata, EL GAUCHITO",MAXI CARREFOUR,MAXICONSUMO,NINI,PLAZA VEA,VITAL,YAGUAR,Total general,Descripcion_Norm,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Ahorro_Pct,Ahorro_Abs
185864,Chocolate COFLER block x300g,"12549,0","12549,0",,"12549,0",,,,"13300,0",,,,,,,,"9355,0",,"12060,4",CHOCOLATE COFLER BLOCK X300G,"9355,0","12549,0","11484,333333333334",3,VITAL,"18,541201056511774","2129,333333333334"
185865,Chocolate COFLER rocklets x100g,,,,,,,,,,,,,,,,"2999,0",,"2999,0",CHOCOLATE COFLER ROCKLETS X100G,"2999,0","2999,0","2999,0",1,VITAL,"0,0","0,0"
185867,Chocolate COFLER con leche x100g,,,,,,,,,,,,,,,,"2899,0",,"2899,0",CHOCOLATE COFLER CON LECHE X100G,"2899,0","2899,0","2899,0",1,VITAL,"0,0","0,0"
185868,Chocolate COFLER almendras enteras x140g,"7469,0",,,"8214,0",,,,"8250,0",,,,,,,,"4199,0",,"7033,0",CHOCOLATE COFLER ALMENDRAS ENTERAS X140G,"4199,0","8214,0","6627,333333333333",3,VITAL,"36,64118297957952","2428,333333333333"
185871,ALIMENTO GATO felix megamix x8kg,"39639,0",,,"39639,0",,,,,,,,,,"64928,71",,"35699,0",,"44976,4275",ALIMENTO GATO FELIX MEGAMIX X8KG,"35699,0","64928,71","44976,4275",4,VITAL,"20,62731082854457","9277,427499999998"
185872,Gaseosa CRUSH manzana pet x3lt,,,,,"2400,0",,,,,,,,,,,"2119,0",,"2306,3333333333335",GASEOSA CRUSH MANZANA PET X3LT,"2119,0","2119,0","2119,0",1,VITAL,"0,0","0,0"
185874,Espumante MUMM leger x269ml,,,,"3833,0",,"2955,0",,"4150,0",,,,,,,"3950,0","2759,0",,"3529,4",ESPUMANTE MUMM LEGER X269ML,"2759,0","3950,0","3374,25",4,VITAL,"18,233681558864934","615,25"
185875,Espumante MUMM brut rose x269ml,,,,"3833,0","3810,0",,,,,,,,,,,"2935,0",,"3526,0",ESPUMANTE MUMM BRUT ROSE X269ML,"2935,0","3833,0","3384,0",2,VITAL,"13,268321513002364","449,0"
185876,Limp MR MUSCULO vidrio x5lt,,,,,,,,,,,,,,,,"9515,0",,"9515,0",LIMP MR MUSCULO VIDRIO X5LT,"9515,0","9515,0","9515,0",1,VITAL,"0,0","0,0"
185877,Limp cocina MR MUSCULO bid x5lt,,,,,,,,,,,,,,,,"9995,0",,"9995,0",LIMP COCINA MR MUSCULO BID X5LT,"9995,0","9995,0","9995,0",1,VITAL,"0,0","0,0"
185878,Cera liq BLEM ceramicos incoloro x5lt,,,,,,,,,,,,,,,,"26925,0","26925,0","26925,0",CERA LIQ BLEM CERAMICOS INCOLORO X5LT,"26925,0","26925,0","26925,0",2,"VITAL, YAGUAR","0,0","0,0"
